freq,currency,nace_r2,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,MIO_EUR,A,DE12	: 	: 	: 	: 	: 	96.58 	86.14 	88.07 	77.74 	66.62 	100.89 	119.92 	112.44 	120.71 	103.37 	105.32 	140.67 	139.25 	120.85 	124.22 	148.89 	125.38 	140.03 	133.69 	146.37 	: 
A,MIO_EUR,A,DE13	: 	: 	: 	: 	: 	163.39 	150.53 	150.99 	147.81 	138.67 	178.37 	202.63 	185.01 	196.98 	175.04 	191.68 	240.37 	244.17 	225.28 	214.77 	225.14 	226.78 	250.53 	251.85 	269.02 	: 
A,MIO_EUR,A,DE14	: 	: 	: 	: 	: 	178.84 	179.31 	171.72 	170.29 	163.37 	193.3 	213.43 	201.26 	231.42 	175.84 	198.02 	250.88 	224.38 	262.17 	230.46 	229.14 	209.47 	255.77 	230.16 	292.6 	: 
A,MIO_EUR,A,DE2	: 	: 	: 	: 	: 	1776.87 	1733.42 	1743.51 	1458.52 	1495 	1754.17 	2150.78 	1985.39 	2242.56 	2148.75 	1896.03 	2359.25 	2255.21 	2266.62 	2284.3 	2319.74 	2315.06 	2433.44 	2565.22 	2525.28 	: 
A,MIO_EUR,A,DE21	: 	: 	: 	: 	: 	457.47 	436.36 	432.52 	357.92 	375.67 	443.05 	554.06 	494.1 	575.13 	541.33 	488.19 	608.05 	579.18 	554.61 	591.63 	651.18 	597.23 	686.97 	726.74 	712.7 	: 
A,MIO_EUR,A,DE22	: 	: 	: 	: 	: 	322.32 	312.96 	311.59 	266.4 	280.3 	317.09 	363.85 	366.15 	412.64 	408.68 	362.57 	451.07 	439.07 	441.36 	418.97 	394.29 	414.88 	435.47 	421.01 	449.68 	: 
A,MIO_EUR,A,DE23	: 	: 	: 	: 	: 	217.09 	214.01 	224.48 	167.07 	183.78 	195.35 	260.11 	233.23 	261.89 	257.52 	224.5 	281.61 	270.37 	257.62 	277.04 	296.04 	318.64 	300.34 	300.87 	265.07 	: 
A,MIO_EUR,A,DE24	: 	: 	: 	: 	: 	129.05 	134.55 	138.12 	104.44 	106.45 	130.74 	167.26 	149.33 	162.97 	167.98 	139.69 	179.27 	175.01 	162.26 	156.02 	176.11 	160.63 	146.56 	200.66 	159.29 	: 
A,MIO_EUR,A,DE25	: 	: 	: 	: 	: 	172 	176.06 	164.83 	144.44 	148.49 	176.75 	203.99 	197.61 	214.83 	198.4 	174.88 	230.86 	203.04 	223.87 	211.2 	173.81 	183.37 	216.56 	234.12 	215.44 	: 
A,MIO_EUR,A,DE26	: 	: 	: 	: 	: 	192.71 	186.31 	183.48 	166.23 	151.82 	206.69 	238.09 	227.55 	251.7 	251.47 	223.26 	241.29 	250.83 	254.48 	234.96 	269.98 	254.73 	244.87 	221.35 	227.06 	: 
